x,y,z,Bz
-0.015,-0.015,0.001,0.0066429
-0.01469697,-0.015,0.001,0.006755561
-0.014393939,-0.015,0.001,0.006856001
-0.014090909,-0.015,0.001,0.00694268
-0.013787879,-0.015,0.001,0.007014068
-0.013484848,-0.015,0.001,0.007068678
-0.013181818,-0.015,0.001,0.007105114
-0.012878788,-0.015,0.001,0.007122115
-0.012575758,-0.015,0.001,0.007118608
-0.012272727,-0.015,0.001,0.007093763
-0.011969697,-0.015,0.001,0.007047045
-0.011666667,-0.015,0.001,0.006978258
-0.011363636,-0.015,0.001,0.006887576
-0.011060606,-0.015,0.001,0.006775563
-0.010757576,-0.015,0.001,0.006643163
-0.010454545,-0.015,0.001,0.006491669
-0.010151515,-0.015,0.001,0.006322672
-0.009848485,-0.015,0.001,0.006137981
-0.009545455,-0.015,0.001,0.005939534
-0.009242424,-0.015,0.001,0.005729307
-0.008939394,-0.015,0.001,0.005509222
-0.008636364,-0.015,0.001,0.005281079
-0.008333333,-0.015,0.001,0.005046496
-0.008030303,-0.015,0.001,0.004806888
-0.007727273,-0.015,0.001,0.004563461
-0.007424242,-0.015,0.001,0.004317236
-0.007121212,-0.015,0.001,0.00406908
-0.006818182,-0.015,0.001,0.003819759
-0.006515152,-0.015,0.001,0.003569989
-0.006212121,-0.015,0.001,0.00332049
-0.005909091,-0.015,0.001,0.003072038
-0.005606061,-0.015,0.001,0.002825502
-0.00530303,-0.015,0.001,0.002581875
-0.005,-0.015,0.001,0.002342296
-0.00469697,-0.015,0.001,0.002108048
-0.004393939,-0.015,0.001,0.00188055
-0.004090909,-0.015,0.001,0.001661328
-0.003787879,-0.015,0.001,0.001451967
-0.003484848,-0.015,0.001,0.001254054
-0.003181818,-0.015,0.001,0.001069101
-0.002878788,-0.015,0.001,0.000898451
-0.002575758,-0.015,0.001,0.000743183
-0.002272727,-0.015,0.001,0.000604005
-0.001969697,-0.015,0.001,0.000481156
-0.001666667,-0.015,0.001,0.000374319
-0.001363636,-0.015,0.001,0.000282558
-0.001060606,-0.015,0.001,0.000204292
-0.000757576,-0.015,0.001,0.000137311
-0.000454545,-0.015,0.001,7.88E-05
-0.000151515,-0.015,0.001,2.57E-05
0.000151515,-0.015,0.001,-2.57E-05
0.000454545,-0.015,0.001,-7.88E-05
0.000757576,-0.015,0.001,-0.000137311
0.001060606,-0.015,0.001,-0.000204292
0.001363636,-0.015,0.001,-0.000282558
0.001666667,-0.015,0.001,-0.000374319
0.001969697,-0.015,0.001,-0.000481156
0.002272727,-0.015,0.001,-0.000604005
0.002575758,-0.015,0.001,-0.000743183
0.002878788,-0.015,0.001,-0.000898451
0.003181818,-0.015,0.001,-0.001069101
0.003484848,-0.015,0.001,-0.001254054
0.003787879,-0.015,0.001,-0.001451967
0.004090909,-0.015,0.001,-0.001661328
0.004393939,-0.015,0.001,-0.00188055
0.00469697,-0.015,0.001,-0.002108048
0.005,-0.015,0.001,-0.002342296
0.00530303,-0.015,0.001,-0.002581875
0.005606061,-0.015,0.001,-0.002825502
0.005909091,-0.015,0.001,-0.003072038
0.006212121,-0.015,0.001,-0.00332049
0.006515152,-0.015,0.001,-0.003569989
0.006818182,-0.015,0.001,-0.003819759
0.007121212,-0.015,0.001,-0.00406908
0.007424242,-0.015,0.001,-0.004317236
0.007727273,-0.015,0.001,-0.004563461
0.008030303,-0.015,0.001,-0.004806888
0.008333333,-0.015,0.001,-0.005046496
0.008636364,-0.015,0.001,-0.005281079
0.008939394,-0.015,0.001,-0.005509222
0.009242424,-0.015,0.001,-0.005729307
0.009545455,-0.015,0.001,-0.005939534
0.009848485,-0.015,0.001,-0.006137981
0.010151515,-0.015,0.001,-0.006322672
0.010454545,-0.015,0.001,-0.006491669
0.010757576,-0.015,0.001,-0.006643163
0.011060606,-0.015,0.001,-0.006775563
0.011363636,-0.015,0.001,-0.006887576
0.011666667,-0.015,0.001,-0.006978258
0.011969697,-0.015,0.001,-0.007047045
0.012272727,-0.015,0.001,-0.007093763
0.012575758,-0.015,0.001,-0.007118608
0.012878788,-0.015,0.001,-0.007122115
0.013181818,-0.015,0.001,-0.007105114
0.013484848,-0.015,0.001,-0.007068678
0.013787879,-0.015,0.001,-0.007014068
0.014090909,-0.015,0.001,-0.00694268
0.014393939,-0.015,0.001,-0.006856001
0.01469697,-0.015,0.001,-0.006755561
0.015,-0.015,0.001,-0.0066429
-0.015,-0.01469697,0.001,0.006755561
-0.01469697,-0.01469697,0.001,0.006862895
-0.014393939,-0.01469697,0.001,0.006955933
-0.014090909,-0.01469697,0.001,0.00703285
-0.013787879,-0.01469697,0.001,0.00709182
-0.013484848,-0.01469697,0.001,0.007131065
-0.013181818,-0.01469697,0.001,0.007148902
-0.012878788,-0.01469697,0.001,0.007143812
-0.012575758,-0.01469697,0.001,0.007114511
-0.012272727,-0.01469697,0.001,0.007060022
-0.011969697,-0.01469697,0.001,0.006979749
-0.011666667,-0.01469697,0.001,0.00687355
