x,y,z,fy
-0.015,-0.015,0.001,0.015762936
-0.01469697,-0.015,0.001,0.017043055
-0.014393939,-0.015,0.001,0.018411923
-0.014090909,-0.015,0.001,0.0198723
-0.013787879,-0.015,0.001,0.021426189
-0.013484848,-0.015,0.001,0.023074612
-0.013181818,-0.015,0.001,0.024817352
-0.012878788,-0.015,0.001,0.026652678
-0.012575758,-0.015,0.001,0.028577054
-0.012272727,-0.015,0.001,0.030584856
-0.011969697,-0.015,0.001,0.032668108
-0.011666667,-0.015,0.001,0.034816281
-0.011363636,-0.015,0.001,0.037016163
-0.011060606,-0.015,0.001,0.03925185
-0.010757576,-0.015,0.001,0.041504873
-0.010454545,-0.015,0.001,0.043754468
-0.010151515,-0.015,0.001,0.045978005
-0.009848485,-0.015,0.001,0.048151528
-0.009545455,-0.015,0.001,0.05025039
-0.009242424,-0.015,0.001,0.052249913
-0.008939394,-0.015,0.001,0.054126018
-0.008636364,-0.015,0.001,0.055855776
-0.008333333,-0.015,0.001,0.057417835
-0.008030303,-0.015,0.001,0.058792705
-0.007727273,-0.015,0.001,0.059962892
-0.007424242,-0.015,0.001,0.060912907
-0.007121212,-0.015,0.001,0.061629166
-0.006818182,-0.015,0.001,0.062099817
-0.006515152,-0.015,0.001,0.062314532
-0.006212121,-0.015,0.001,0.062264283
-0.005909091,-0.015,0.001,0.061941139
-0.005606061,-0.015,0.001,0.061338103
-0.00530303,-0.015,0.001,0.060448992
-0.005,-0.015,0.001,0.059268397
-0.00469697,-0.015,0.001,0.057791702
-0.004393939,-0.015,0.001,0.056015197
-0.004090909,-0.015,0.001,0.053936261
-0.003787879,-0.015,0.001,0.051553642
-0.003484848,-0.015,0.001,0.048867806
-0.003181818,-0.015,0.001,0.045881375
-0.002878788,-0.015,0.001,0.042599606
-0.002575758,-0.015,0.001,0.039030925
-0.002272727,-0.015,0.001,0.035187446
-0.001969697,-0.015,0.001,0.031085455
-0.001666667,-0.015,0.001,0.026745794
-0.001363636,-0.015,0.001,0.022194077
-0.001060606,-0.015,0.001,0.017460695
-0.000757576,-0.015,0.001,0.012580537
-0.000454545,-0.015,0.001,0.00759242
-0.000151515,-0.015,0.001,0.002538223
0.000151515,-0.015,0.001,-0.002538223
0.000454545,-0.015,0.001,-0.00759242
0.000757576,-0.015,0.001,-0.012580537
0.001060606,-0.015,0.001,-0.017460695
0.001363636,-0.015,0.001,-0.022194077
0.001666667,-0.015,0.001,-0.026745794
0.001969697,-0.015,0.001,-0.031085455
0.002272727,-0.015,0.001,-0.035187446
0.002575758,-0.015,0.001,-0.039030925
0.002878788,-0.015,0.001,-0.042599606
0.003181818,-0.015,0.001,-0.045881375
0.003484848,-0.015,0.001,-0.048867806
0.003787879,-0.015,0.001,-0.051553642
0.004090909,-0.015,0.001,-0.053936261
0.004393939,-0.015,0.001,-0.056015197
0.00469697,-0.015,0.001,-0.057791702
0.005,-0.015,0.001,-0.059268397
0.00530303,-0.015,0.001,-0.060448992
0.005606061,-0.015,0.001,-0.061338103
0.005909091,-0.015,0.001,-0.061941139
0.006212121,-0.015,0.001,-0.062264283
0.006515152,-0.015,0.001,-0.062314532
0.006818182,-0.015,0.001,-0.062099817
0.007121212,-0.015,0.001,-0.061629166
0.007424242,-0.015,0.001,-0.060912907
0.007727273,-0.015,0.001,-0.059962892
0.008030303,-0.015,0.001,-0.058792705
0.008333333,-0.015,0.001,-0.057417835
0.008636364,-0.015,0.001,-0.055855776
0.008939394,-0.015,0.001,-0.054126018
0.009242424,-0.015,0.001,-0.052249913
0.009545455,-0.015,0.001,-0.05025039
0.009848485,-0.015,0.001,-0.048151528
0.010151515,-0.015,0.001,-0.045978005
