,x,y,z,zxy,zy0
0,-10,-10,-0.007200478,-7.200478455,-1.199578083
1,-9.8,-9.8,-0.006400482,-6.400482425,-1.026043557
2,-9.6,-9.6,-0.005600213,-5.600213124,-0.799338012
3,-9.4,-9.4,-0.00502581,-5.025810194,-0.799170675
4,-9.2,-9.2,-0.00440092,-4.400920003,-0.574595898
5,-9,-9,-0.00399218,-3.992179501,-0.398826824
6,-8.8,-8.8,-0.003374599,-3.374598742,-0.39861462
7,-8.6,-8.6,-0.002800161,-2.800161219,-0.199770035
8,-8.4,-8.4,-0.00240006,-2.400059622,-0.020965517
9,-8.2,-8.2,-0.002000192,-2.000192394,-0.021757581
10,-8,-8,-0.001599789,-1.599788708,-0.020709093
11,-7.8,-7.8,-0.001373804,-1.373804274,0.986583569
12,-7.6,-7.6,-0.001199582,-1.199582164,1.011515841
13,-7.4,-7.4,-0.000800133,-0.800133019,1.042494042
14,-7.2,-7.2,-0.000399838,-0.399838013,1.074938513
15,-7,-7,-0.000399722,-0.39972187,1.103700679
16,-6.8,-6.8,-2.28E-05,-0.022775881,1.128816466
17,-6.6,-6.6,-2.28E-05,-0.022775881,1.153229115
18,-6.4,-6.4,0.000924524,0.924524293,1.179052884
19,-6.2,-6.2,0.00101184,1.011840007,1.204570459
20,-6,-6,0.00107745,1.077449578,1.226661578
21,-5.8,-5.8,0.001125462,1.125461738,1.243953079
22,-5.6,-5.6,0.001162257,1.162257099,1.257013151
23,-5.4,-5.4,0.001191026,1.191025988,1.266752906
24,-5.2,-5.2,0.001211113,1.211112971,1.273291664
25,-5,-5,0.001222411,1.222410559,1.276670249
26,-4.8,-4.8,0.001229803,1.229803297,1.278708629
27,-4.6,-4.6,0.001240644,1.24064357,1.282302316
28,-4.4,-4.4,0.001255376,1.255375886,1.287763854
29,-4.2,-4.2,0.001267067,1.267066634,1.292217315
30,-4,-4,0.001271336,1.271336396,1.293538603
31,-3.8,-3.8,0.001270953,1.270952863,1.292823956
32,-3.6,-3.6,0.001273035,1.273034955,1.293270834
33,-3.4,-3.4,0.001280473,1.280472785,1.296229845
34,-3.2,-3.2,0.001288045,1.28804517,1.299389918
35,-3,-3,0.001290341,1.29034118,1.300133606
36,-2.8,-2.8,0.001288055,1.288055242,1.298737286
37,-2.6,-2.6,0.001287165,1.28716481,1.298043447
38,-2.4,-2.4,0.001291665,1.291665485,1.299947116
39,-2.2,-2.2,0.001297821,1.297820948,1.302723129
40,-2,-2,0.001299823,1.299823214,1.303520337
41,-1.8,-1.8,0.001296973,1.296972937,1.301960754
42,-1.6,-1.6,0.001294328,1.294327929,1.300532523
43,-1.4,-1.4,0.001296784,1.296784262,1.30160567
44,-1.2,-1.2,0.001302086,1.302086013,1.304107913
45,-1,-1,0.001304273,1.304272933,1.305110746
46,-0.8,-0.8,0.001301411,1.301410928,1.30361621
47,-0.6,-0.6,0.001297609,1.297609122,1.301689186
48,-0.4,-0.4,0.001298388,1.298388193,1.302033368
49,-0.2,-0.2,0.001302995,1.302994946,1.304283448
50,0,0,0.001305556,1.305556166,1.305556166
51,0.2,0.2,0.001302994,1.302994007,1.304284755
52,0.4,0.4,0.001298389,1.29838887,1.302033323
53,0.6,0.6,0.001297609,1.297609031,1.301690552
54,0.8,0.8,0.001301411,1.301411114,1.303616873
