,x,y,z,zy,z0
0,-10,-10,-0.007200222,-7.200221804,-1.200478965
1,-9.8,-9.8,-0.006003875,-6.003874786,-1.200046508
2,-9.6,-9.6,-0.005200678,-5.200677735,-0.800271588
3,-9.4,-9.4,-0.004400374,-4.4003745,-0.800067923
4,-9.2,-9.2,-0.003750298,-3.750298048,-0.399136518
5,-9,-9,-0.003200016,-3.200016021,-0.399857332
6,-8.8,-8.8,-0.002600013,-2.600013268,-0.225660015
7,-8.6,-8.6,-0.001600275,-1.600274769,-0.023260335
8,-8.4,-8.4,-0.001774078,-1.774078016,-0.021653688
9,-8.2,-8.2,-0.001373781,-1.373781269,-0.023304418
10,-8,-8,-0.001198899,-1.198899431,-0.022162247
11,-7.8,-7.8,-0.000800232,-0.800232026,1.026355276
12,-7.6,-7.6,-0.000649621,-0.649620829,1.048566251
13,-7.4,-7.4,-0.000399896,-0.399895703,1.068605894
14,-7.2,-7.2,-0.000250061,-0.250061045,1.086843731
15,-7,-7,-2.29E-05,-0.022872969,1.105390544
16,-6.8,-6.8,-2.23E-05,-0.022327607,1.122638622
17,-6.6,-6.6,0.000928602,0.928601584,1.137564586
18,-6.4,-6.4,0.000978014,0.978013863,1.150340974
19,-6.2,-6.2,0.001025792,1.025791952,1.16230157
20,-6,-6,0.001066351,1.066351078,1.173507281
21,-5.8,-5.8,0.001103807,1.103806776,1.184325859
22,-5.6,-5.6,0.00113836,1.138359661,1.195184781
23,-5.4,-5.4,0.00116843,1.168429722,1.205435783
24,-5.2,-5.2,0.001193874,1.193874463,1.214743514
25,-5,-5,0.001216388,1.216387719,1.223284409
26,-4.8,-4.8,0.001235791,1.235791489,1.231024426
27,-4.6,-4.6,0.001251246,1.25124564,1.237858492
28,-4.4,-4.4,0.001263939,1.263938777,1.244427945
29,-4.2,-4.2,0.001275173,1.275172982,1.251148941
30,-4,-4,0.001284508,1.284507898,1.257419555
31,-3.8,-3.8,0.001291898,1.291898229,1.262766505
32,-3.6,-3.6,0.001298476,1.298475633,1.267523618
33,-3.4,-3.4,0.001303879,1.30387894,1.27166961
34,-3.2,-3.2,0.001306479,1.306479253,1.274834909
35,-3,-3,0.001306782,1.306781652,1.277426578
36,-2.8,-2.8,0.001306727,1.306727179,1.280226125
37,-2.6,-2.6,0.001306111,1.306111361,1.282908404
38,-2.4,-2.4,0.001303959,1.303958689,1.284836925
39,-2.2,-2.2,0.001301717,1.301716995,1.286315984
40,-2,-2,0.001300758,1.300757581,1.28771056
41,-1.8,-1.8,0.001299582,1.299582475,1.288493721
42,-1.6,-1.6,0.001297353,1.297353376,1.288556028
43,-1.4,-1.4,0.001295776,1.295776087,1.28868963
