,rotation,magnetic_potential_energy
0,0.0,1.4450015567793223e-05
1,1.0,1.4434799613312845e-05
2,2.0,1.4392259142609793e-05
3,3.0,1.4330207914648453e-05
4,4.0,1.4260119224940351e-05
5,5.0,1.4196658756312951e-05
6,6.0,1.4152764691923253e-05
7,7.0,1.4134304301971354e-05
8,8.0,1.4139915472303944e-05
9,9.0,1.41622813227903e-05
10,10.0,1.4190724714382982e-05
11,11.0,1.4216505848209161e-05
12,12.0,1.423460738842209e-05
13,13.0,1.4243433778802238e-05
14,14.0,1.4246662185836208e-05
15,15.0,1.425249213512303e-05
16,16.0,1.4270622197795074e-05
17,17.0,1.4308354791651922e-05
18,18.0,1.4366948792646931e-05
19,19.0,1.444420868732343e-05
20,20.0,1.4538240173142137e-05
21,21.0,1.4646697528104597e-05
22,22.0,1.476616249923979e-05
23,23.0,1.4892907395675456e-05
24,24.0,1.5023594886786353e-05
25,25.0,1.5154497870878543e-05
26,26.0,1.5281010422331213e-05
27,27.0,1.5398519160694612e-05
28,28.0,1.5504086108161772e-05
29,29.0,1.559771258890896e-05
30,30.0,1.568170392986387e-05
31,31.0,1.5759850431372336e-05
32,32.0,1.5835445708758875e-05
33,33.0,1.5910370689975194e-05
34,34.0,1.598500658663588e-05
35,35.0,1.6058355697849102e-05
36,36.0,1.612864720407421e-05
37,37.0,1.6193213589860045e-05
38,38.0,1.624915617455905e-05
39,39.0,1.6294190448295355e-05
40,40.0,1.632798346071397e-05
41,41.0,1.6351839784582484e-05
42,42.0,1.6368308073448655e-05
43,43.0,1.6379250904859064e-05
44,44.0,1.638554532268232e-05
45,45.0,1.638773196906023e-05
46,46.0,1.6385545322682277e-05
47,47.0,1.6379250904859067e-05
48,48.0,1.636830807344866e-05
49,49.0,1.6351839784582426e-05
50,50.0,1.632798346071397e-05
51,51.0,1.6294190448295352e-05
52,52.0,1.624915617455905e-05
53,53.0,1.6193213589860045e-05
54,54.0,1.6128647204074176e-05
55,55.0,1.6058355697849102e-05
56,56.0,1.5985006586635876e-05
57,57.0,1.591037068997519e-05
58,58.0,1.5835445708758878e-05
59,59.0,1.5759850431372336e-05
60,60.0,1.568170392986387e-05
61,61.0,1.5597712588908934e-05
62,62.0,1.5504086108161772e-05
63,63.0,1.539851916069461e-05
64,64.0,1.5281010422331213e-05
65,65.0,1.5154497870878543e-05
66,66.0,1.5023594886786604e-05
67,67.0,1.4892907395675433e-05
68,68.0,1.476616249924021e-05
69,69.0,1.4646697528104597e-05
70,70.0,1.4538240173142135e-05
71,71.0,1.4444208687323416e-05
72,72.0,1.4366948792646997e-05
73,73.0,1.430835479165192e-05
74,74.0,1.4270622197795067e-05
75,75.0,1.425249213512303e-05
76,76.0,1.4246662185836208e-05
77,77.0,1.4243433778802238e-05
78,78.0,1.4234607388422091e-05
79,79.0,1.421650584820916e-05
80,80.0,1.419072471438284e-05
81,81.0,1.4162281322790532e-05
82,82.0,1.4139915472303946e-05
83,83.0,1.4134304301971354e-05
84,84.0,1.4152764691923255e-05
85,85.0,1.4196658756312951e-05
86,86.0,1.426011922494035e-05
87,87.0,1.4330207914648451e-05
88,88.0,1.43922591426098e-05
89,89.0,1.4434799613312566e-05
90,90.0,1.4450015567793225e-05
91,91.0,1.4434799613312844e-05
92,92.0,1.4392259142609791e-05
93,93.0,1.4330207914648451e-05
94,94.0,1.4260119224940351e-05
95,95.0,1.4196658756312953e-05
96,96.0,1.4152764691923253e-05
97,97.0,1.4134304301971354e-05
98,98.0,1.4139915472303946e-05
99,99.0,1.4162281322790297e-05
100,100.0,1.4190724714382978e-05
101,101.0,1.4216505848209161e-05
102,102.0,1.423460738842209e-05
103,103.0,1.4243433778802238e-05
104,104.0,1.4246662185836208e-05
105,105.0,1.4252492135123028e-05
106,106.0,1.4270622197795074e-05
107,107.0,1.430835479165192e-05
108,108.0,1.4366948792646931e-05
109,109.0,1.4444208687323428e-05
110,110.0,1.4538240173142137e-05
111,111.0,1.4646697528104595e-05
112,112.0,1.4766162499239791e-05
113,113.0,1.4892907395675455e-05
114,114.0,1.5023594886786355e-05
115,115.0,1.5154497870878543e-05
116,116.0,1.5281010422331213e-05
117,117.0,1.5398519160694612e-05
118,118.0,1.5504086108161772e-05
119,119.0,1.5597712588908958e-05
120,120.0,1.568170392986387e-05
121,121.0,1.5759850431372336e-05
122,122.0,1.5835445708758875e-05
123,123.0,1.5910370689975194e-05
124,124.0,1.598500658663588e-05
125,125.0,1.6058355697849102e-05
126,126.0,1.612864720407421e-05
